filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	slc2a2_nwt	slc2a2_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate02_SLC2A2_201104_A01	201104	2	NK270	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	0	0	1	12.402334	1.1229768	.6976647	.4083552	1.2470656	1	39	39	386305	7429	7242	7211	2141	52	2.849e+09	1	3280430	154515	115	229	164	141	97	613255	7395	20809.3	19879.537	1.54e+08	-389.5294	5438989	13	3941.362	918869.6	1261861	26_SLC2A2	1	1	1	7.7	1	1	4	.6001788	-.0809473	.2450062	.5729675	1.400745	-.5443409	.4159872	-.1502124	-.9476973	-.7344303	-.5073057	1.06222	.3803256	.0929718	.0929718	.9674216	.2822162	-.2822162	.2822162	.7039218	.8284646	.2822162	-.2822162	-.2822162	-.3803256	.0929718	-.5894558	-.1867561	-.9674216	1.044409
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_A02	201104	1	NK236	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	0	0	1	4.3435714	.4423848	.33297634	.340296	.9352992	1	5	5	393224	6144	5071	10034	3266	64	3.769e+09	1	8002161	186470	177	327	184	141	6	600655	432	22556.91	18318.628	9744585	2900.656	-1.29e+08	218	3596.263	868236.7	1170778	26_SLC2A2	1	1	1	3.166667	1	1	4	-.6001788	-.5059336	-.1624294	-.1256613	-.9252446		-.9252446	-.7591527	-1.29875	-1.343517	-1.697764	-.8599248	.0929718	-1.593219	-1.593219	-1.593219	-2.085356	.7647097	.3803256	.1867561	.0929718	.5894558	.3803256	.3803256	1.593219	.7039218	2.085356	1.324958	.2342192	1.044409
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_A03	201104	1	NK240	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	.0599877	0	1		.4423848	.76108877	.4083552	1.4808904	1	9	9																							44	3624.108	942466.4	1273420	26_SLC2A2	1	1	1	3.6	1	1	4	-.4159872	.0809473	.5059336	2.128045	2.141198	-.2622828	-.4159872	-.7591527	-.572233	-.7344303	-.4238958																			
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_A06	201104	1	NK252	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	0	0	1	14.874218	.7146216	.50739251	.4083552	2.9617808	1	21	21	555298	7119	5697	14257	4660	78	7.626e+09	1	4725157	187184	123	278	237	156	119	711908	8946	14818.981	13384.848	1.33e+08	38.55607	2.45e+07	2	4274.655	1103876	1483638	26_SLC2A2	1	1	1	4.766667	1	1	4	2.141198	2.141198	2.141198	.6744897	1.211232	-.352934	-.0809473	-.3833065	.6396686	-.7344303	-.8906177	1.72379	.7039218	.7039218	.7039218	.7039218	.7039218	1.593219	2.085356	.4822482	.3803256	1.593219	1.128144	.9674216	.5894558	.8284646	-.2822162	.8284646	2.085356	2.085356
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_A08	201104	1	NK263	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	1	1	2	11.570486	1.020888	.98307299	.4764144	1.169124	1	32	32	478471	7361	6394	10531	3107	65	4.779e+09	1	4879112	162387	160	250	215	101	245	854228	18943	16781.822	15891.279	3.18e+08	-475.5939	1.94e+08	7	3982.965	993652.6	1338872	26_SLC2A2	1	1	1	6.016667	1	1	4	.7000902	.807541	.9252446	.4770404	.3292913	.8791677	.3292913	-.1881663	-1.039639	-.3039132	-.1124738	.8599248	1.128144	2.085356	2.085356	2.085356	2.085356	1.044409	.9674216	.5894558	.4822482	.8284646	.4822482	.2822162	.8284646	.3803256	1.22064	.5894558	1.128144	-.7647097
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_D07	201104	1	NK259	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	1	1	2	5.3759877	.3743256	.52324853	.3743256	.7014744	1	28	28	204116	3519	3676	1312	454	58	2.728e+08	2	4561772	138085	157	210	190	140	146	519022	11084	10224.717	9665.6272	1.13e+08	-880.1721	2.84e+07	102	3398.879	774103.7	1004389	26_SLC2A2	1	1	1	5.633333	1	1	4	-1.400745	-1.057414	-1.400745	-.4770404	-.5059336	.352934	-1.400745	-1.008045	-1.557284	-1.039639	-.8363019	-.6350072	-.4822482	1.128144	1.128144	.2822162	.8284646	.1867561	-.8284646	-1.324958	-.8284646	-1.128144	-1.593219	-1.324958	.4822482	-.2822162	.9674216	-.9674216	.4822482	.8284646
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_D05	201104	1	NK251	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	1	1	2	11.364003	.7486512	1.0623531	.4083552	2.1823648	1	20	20	487158	8399	8078	11119	2607	58	5.550e+09	1	4237473	175132	134	240	202	121	64	915836	5045	14775.1	14574.974	7.45e+07	-1181.472	-4.09e+07	7	4094.618	1032323	1391105	26_SLC2A2	1	1	1	4.616667	1	1	4	1.057414	1.211232	1.211232	.7835004	-.1624294	-.0865434	.5059336	-.3433392	.1881663	-.7344303	0	.7427598	2.085356	-.7647097	-.5894558	-.3803256	-.8284646	.1867561	1.128144	.9674216	1.324958	.9674216	.5894558	.1867561	.1867561	.4822482	.2342192	.4822482	.7039218	-.0464357
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_G07	201104	1	NK262	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	.0540903	0	1	6.6148874	.4423848	.58667259	.340296	.7014744	1	31	31	50819	2420	2403	1793	412	21	95186392	1	1135839	53415	92	166	114	77	102	383324	8579	13818.123	11246.772	1.19e+08	1150.661	2.37e+07	0	3622.083	845462.3	1057265	26_SLC2A2	1	1	1	5.866667	1	1	4	-.5059336	-.7000902	-.4159872	1.644854	.7000902	1.014499	-2.141198	-.7591527	-1.557284	-1.343517	-.7591527	-.1707672	-1.593219	.2342192	.5894558	.4822482	.5894558	-1.128144	-1.593219	-1.593219	-1.593219	-1.593219	-1.128144	-1.593219	-1.324958	-1.324958	-1.324958	-1.593219	-1.593219	-1.128144
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_D03	201104	1	NK242	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	1	1	2	10.951036	.340296	.80865682	.3743256	1.558832	1	11	11																							11	3275.065	880094.9	1026012	26_SLC2A2	1	1	1	3.75	1	1	4	-2.141198	-.4159872	-.807541	-.6744897	-.6001788	0	-1.660698	-1.141333	-.3833065	-1.039639	-.3833065	.6350072																		
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SLC2A2_201104_G01	201104	1	NK234	insH2Bfabp	CD15	SLC2A2	1	0	0	2	1	9	1	1	2	6.0986792	.6465624	.36468837	.4423848	1.4808904	1	3	3	285384	5824	4618	9561	3281	49	2.755e+09	2	3858307	136459	131	217	188	108	227	822340	17893	15623.72	15042.709	2.80e+08	-795.093	1.61e+08	45	3844.477	947281.5	1281525	26_SLC2A2	1	1	1	3	1	1	4	.2450062	.3292913	.6001788	.9027348	.0809473	1.171546	.2450062	-.4238958	-.572233	-.5073057	-1.391153	-.3467042	.9674216	1.593219	1.593219	1.593219	1.593219	-.3803256	-.1867561	0	-.2822162	.1867561	.0929718	.4822482	-.2822162	-.3803256	0	-.4822482	.3803256	-.3803256
